Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 232,2021-02-17T20:01:58-05:00,RG.F.SS2018.OC.002.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,0.393017,180
Ruler 233,2021-02-17T20:02:04-05:00,RG.F.SS2018.OC.002.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,1.188904,180
Ruler 234,2021-02-17T20:02:10-05:00,RG.F.SS2018.OC.002.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,1.581921,0
Ruler 235,2021-02-17T20:02:15-05:00,RG.F.SS2018.OC.002.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,3.163842,0
Ruler 236,2021-02-17T20:03:29-05:00,RG.F.SS2018.OC.001.psdc,Ruler Tool,Custom (261 pixel(s) = 1.0000 millimeter),millimeter,261,1,0.417683,180
Ruler 237,2021-02-17T20:03:34-05:00,RG.F.SS2018.OC.001.psdc,Ruler Tool,Custom (261 pixel(s) = 1.0000 millimeter),millimeter,261,1,0.653198,180
Ruler 238,2021-02-17T20:03:41-05:00,RG.F.SS2018.OC.001.psdc,Ruler Tool,Custom (261 pixel(s) = 1.0000 millimeter),millimeter,261,1,1.070881,180
Ruler 239,2021-02-17T20:03:48-05:00,RG.F.SS2018.OC.001.psdc,Ruler Tool,Custom (261 pixel(s) = 1.0000 millimeter),millimeter,261,1,2.141762,180
